Datum;T&D GOES Super High Grade*;Kupfer-Westmetall;GP 24;HCIP-EU27;LME-Aluminium;DESTATIS-VST072; GP 2892 ; GP 19202 
01.12.25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01.11.25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01.10.25;0,00;10.308,00;0,00;0,00;0,00;0,00;0,00;0,00
01.09.25;0,00;10.023,20;0,00;0,00;2.668,50;111,86;0,00;0,00
01.08.25;182,18;9.729,85;112,50;133,49;2.621,00;111,18;119,50;112,50
01.07.25;173,34;9.787,11;112,80;133,25;2.580,00;110,63;119,50;114,60
01.06.25;172,87;9.702,21;113,50;133,06;2.593,00;111,65;119,50;114,20
01.05.25;172,46;9.504,50;114,10;132,67;2.445,00;113,65;119,50;112,90
01.04.25;174,65;9.219,40;114,40;132,68;2.405,00;111,84;119,40;114,40
01.03.25;176,58;9.762,50;114,60;132,04;2.518,50;109,17;119,30;117,80
01.02.25;174,36;9.393,73;114,60;131,37;2.719,92;109,63;119,30;122,70
01.01.25;173,27;9.094,02;113,90;130,78;2.621,06;109,64;119,20;123,00
01.12.24;169,89;9.036,00;114,00;130,84;2.526,78;109,90;118,20;117,30
01.11.24;166,16;9.202,52;113,90;130,44;2.576,72;111,72;118,20;116,50
01.10.24;166,87;9.680,72;113,90;130,70;2.591,61;111,42;118,00;115,70
01.09.24;165,73;9.384,86;113,70;130,23;2.608,72;111,17;117,90;114,30
01.08.24;160,86;9.085,76;113,80;130,33;2.432,85;110,87;117,80;120,00
01.07.24;159,80;9.536,33;115,30;130,19;2.228,01;110,58;117,80;123,30
01.06.24;154,55;9.777,20;115,30;130,02;2.487,82;110,25;117,90;122,80
01.05.24;158,58;10.243,98;115,60;129,79;2.607,14;109,83;117,80;124,20
01.04.24;157,34;9.596,07;114,90;129,55;2.584,84;109,23;117,00;128,90
01.03.24;166,97;8.777,90;113,90;128,79;2.295,09;108,83;117,00;126,90
01.02.24;165,87;8.409,40;113,60;127,95;2.186,74;108,44;117,00;126,40
01.01.24;170,04;8.443,07;113,80;127,21;2.241,35;107,11;116,90;123,20
01.12.23;179,36;8.484,66;114,30;127,42;2.345,50;107,72;116,60;123,00
01.11.23;188,38;8.266,25;113,90;127,23;2.155,76;107,23;116,60;128,60
01.10.23;189,83;8.015,20;114,40;127,73;2.240,09;106,84;116,10;133,60
01.09.23;200,01;8.313,29;115,50;127,57;2.330,50;106,45;116,00;135,70
01.08.23;202,20;8.392,50;116,10;127,24;2.165,75;106,08;115,60;128,30
01.07.23;205,85;8.467,45;117,60;126,64;2.244,81;105,68;115,40;121,50
01.06.23;215,49;8.392,86;120,20;126,69;2.110,50;104,92;115,40;120,20
01.05.23;215,87;8.271,43;120,60;126,35;2.286,50;104,32;115,40;120,50
01.04.23;217,61;8.822,03;122,00;126,30;2.368,00;104,33;115,00;125,90
01.03.23;219,13;8.846,17;122,00;125,52;2.376,75;104,30;115,00;127,30
01.02.23;218,65;8.981,05;123,20;124,43;2.327,63;104,27;114,80;130,70
01.01.23;220,36;9.020,36;123,80;123,39;2.613,00;102,94;113,60;132,30
01.12.22;226,28;8.397,45;124,40;123,18;2.349,51;101,75;112,60;133,00
01.11.22;222,70;8.035,89;125,60;123,40;2.447,50;101,73;111,80;142,40
01.10.22;217,86;7.549,31;127,50;123,26;2.216,75;101,68;109,70;151,50
01.09.22;206,66;7.658,00;127,80;121,56;2.154,75;102,19;109,10;147,70
01.08.22;205,84;7.954,20;128,10;120,10;2.369,25;102,17;108,80;144,00
01.07.22;192,40;7.547,71;128,30;119,31;2.504,24;102,13;108,30;150,20
01.06.22;181,77;9.035,93;131,20;119,03;2.426,00;101,58;107,40;154,70
01.05.22;179,64;9.359,19;132,10;117,95;2.757,75;102,35;106,90;150,70
01.04.22;175,31;10.194,63;130,90;116,83;3.032,50;102,27;106,60;146,80
01.03.22;167,74;10.245,65;124,60;115,87;3.480,61;102,24;105,10;150,20
01.02.22;158,12;9.895,20;118,50;113,18;3.388,00;102,22;104,70;121,30
01.01.22;154,29;9.748,40;115,90;112,20;3.049,50;101,06;104,40;114,80
01.12.21;139,74;9.524,67;111,10;111,59;2.806,00;101,02;102,10;110,20
01.11.21;137,77;9.595,95;110,30;111,07;2.634,75;100,99;101,70;113,80
01.10.21;136,41;9.635,64;109,40;110,54;2.704,75;100,96;101,20;111,50
01.09.21;134,72;9.329,70;107,20;109,57;2.842,25;100,40;100,40;103,30
01.08.21;134,47;9.371,67;105,70;109,04;2.739,00;100,38;100,30;102,10
01.07.21;131,23;9.464,20;103,20;108,68;2.598,00;100,38;99,60;102,10
01.06.21;105,25;9.637,98;98,80;108,65;2.509,50;100,88;99,50;98,40
01.05.21;101,03;10.196,05;96,70;108,38;2.458,51;100,06;99,20;95,80
01.04.21;99,48;9.324,13;93,30;108,08;2.407,50;100,04;99,10;94,20
01.03.21;98,39;8.988,20;90,50;107,46;2.187,50;100,03;99,10;93,60
01.02.21;98,81;8.439,78;87,90;106,55;2.149,25;100,01;99,00;89,30
01.01.21;98,35;7.978,38;85,90;106,27;1.981,88;100,01;98,90;85,60
01.12.20;97,98;7.771,50;83,00;105,97;1.973,60;99,99;98,40;77,70
01.11.20;97,63;7.078,19;81,90;105,63;2.036,00;97,57;98,40;74,50
01.10.20;98,55;6.716,30;80,80;105,92;1.847,00;100,75;98,30;75,30
01.09.20;99,06;6.695,43;80,80;105,73;1.729,00;100,74;98,30;74,40
01.08.20;99,86;6.485,85;80,20;105,69;1.764,50;100,73;98,30;76,90
01.07.20;98,81;6.348,59;79,80;106,06;1.675,20;100,73;98,20;76,80
01.06.20;99,04;5.761,89;79,50;106,31;1.601,75;100,73;98,20;73,60
01.05.20;99,52;5.263,55;79,70;105,94;1.526,25;99,87;98,20;69,60
01.04.20;99,03;5.072,48;79,90;105,93;1.459,00;99,88;98,10;71,60
01.03.20;99,03;5.192,43;80,50;105,70;1.492,50;99,86;98,10;79,10
01.02.20;99,12;5.705,43;81,50;105,22;1.676,50;99,84;98,00;88,70
01.01.20;99,43;6.076,48;82,20;105,00;1.705,50;99,83;97,50;92,00
01.12.19;100,37;6.088,20;81,90;105,76;1.781,25;99,80;96,80;90,00
01.11.19;99,56;5.880,60;81,90;105,42;1.792,00;99,78;96,80;89,70
01.10.19;99,19;5.772,50;82,60;105,67;1.754,00;99,72;96,50;89,70
01.09.19;99,14;5.775,12;83,40;105,49;1.701,50;99,70;96,50;90,50
01.08.19;99,28;5.733,79;83,30;105,31;1.724,25;99,68;96,50;89,40
