Date;^GDAXI
01.01.2015;10694.3203125
01.02.2015;11401.66015625
01.03.2015;11966.169921875
01.04.2015;11454.3798828125
01.05.2015;11413.8203125
01.06.2015;10944.9697265625
01.07.2015;11308.990234375
01.08.2015;10259.4599609375
01.09.2015;9660.4404296875
01.10.2015;10850.1396484375
01.11.2015;11382.23046875
01.12.2015;10743.009765625
01.01.2016;9798.1103515625
01.02.2016;9495.400390625
01.03.2016;9965.509765625
01.04.2016;10038.9697265625
01.05.2016;10262.740234375
01.06.2016;9680.08984375
01.07.2016;10337.5
01.08.2016;10592.6904296875
01.09.2016;10511.01953125
01.10.2016;10665.009765625
01.11.2016;10640.2998046875
01.12.2016;11481.0595703125
01.01.2017;11535.3095703125
01.02.2017;11834.41015625
01.03.2017;12312.8701171875
01.04.2017;12438.009765625
01.05.2017;12615.0595703125
01.06.2017;12325.1201171875
01.07.2017;12118.25
01.08.2017;12055.83984375
01.09.2017;12828.8603515625
01.10.2017;13229.5703125
01.11.2017;13023.98046875
01.12.2017;12917.6396484375
01.01.2018;13189.48046875
01.02.2018;12435.849609375
01.03.2018;12096.73046875
01.04.2018;12612.1103515625
01.05.2018;12604.8896484375
01.06.2018;12306.0
01.07.2018;12805.5
01.08.2018;12364.0595703125
01.09.2018;12246.73046875
01.10.2018;11447.509765625
01.11.2018;11257.240234375
01.12.2018;10558.9599609375
01.01.2019;11173.099609375
01.02.2019;11515.6396484375
01.03.2019;11526.0400390625
01.04.2019;12344.080078125
01.05.2019;11726.83984375
01.06.2019;12398.7998046875
01.07.2019;12189.0400390625
01.08.2019;11939.2802734375
01.09.2019;12428.080078125
01.10.2019;12866.7900390625
01.11.2019;13236.3798828125
01.12.2019;13249.009765625
01.01.2020;12981.9697265625
01.02.2020;11890.349609375
01.03.2020;9935.83984375
01.04.2020;10861.6396484375
01.05.2020;11586.849609375
01.06.2020;12310.9296875
01.07.2020;12313.3603515625
01.08.2020;12945.3798828125
01.09.2020;12760.73046875
01.10.2020;11556.48046875
01.11.2020;13291.16015625
01.12.2020;13718.7802734375
01.01.2021;13432.8701171875
01.02.2021;13786.2900390625
01.03.2021;15008.33984375
01.04.2021;15135.91015625
01.05.2021;15421.1298828125
01.06.2021;15531.0400390625
01.07.2021;15544.3896484375
01.08.2021;15835.08984375
01.09.2021;15260.6904296875
01.10.2021;15688.76953125
01.11.2021;15100.1298828125
01.12.2021;15884.8603515625
01.01.2022;15471.2001953125
01.02.2022;14461.01953125
01.03.2022;14414.75
01.04.2022;14097.8798828125
01.05.2022;14388.349609375
01.06.2022;12783.76953125
01.07.2022;13484.0498046875
01.08.2022;12834.9599609375
01.09.2022;12114.3603515625
01.10.2022;13253.740234375
01.11.2022;14397.0400390625
01.12.2022;13923.58984375
01.01.2023;15128.26953125
01.02.2023;15365.1396484375
01.03.2023;15628.83984375
01.04.2023;15922.3798828125
01.05.2023;15664.01953125
01.06.2023;16147.900390625
01.07.2023;16446.830078125
01.08.2023;15947.080078125
01.09.2023;15386.580078125
01.10.2023;14810.33984375
01.11.2023;16215.4296875
01.12.2023;16751.640625
01.01.2024;16903.759765625
01.02.2024;17678.189453125
01.03.2024;18492.490234375
01.04.2024;17932.169921875
01.05.2024;18497.939453125
01.06.2024;18235.44921875
01.07.2024;18508.650390625
01.08.2024;18906.919921875
01.09.2024;19324.9296875
01.10.2024;19077.5390625
01.11.2024;19626.44921875
01.12.2024;19909.140625
01.01.2025;21732.05078125
01.02.2025;22551.4296875
01.03.2025;22163.490234375
01.04.2025;22496.98046875
01.05.2025;23997.48046875
01.06.2025;23909.609375
01.07.2025;24065.470703125
01.08.2025;23902.2109375
01.09.2025;23880.720703125
01.10.2025;23958.30078125
01.11.2025;23836.7890625
01.12.2025;24123.810546875
